Age,Attrition,BusinessTravel,DailyRate($),Department,DistanceFromHome,Education,EducationField,EmployeeNumber#,EnvironmentSatisfaction,Gender,JobLevel,Job+Role,JobSatisfaction,MaritalStatus,MonthlyIncome($),NumCompaniesWorked#,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,13,1,Male,1,Research Scientist,3,Divorced,2911,1,No,17,3,1,5,1,2,5,2,4,3
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,14,2,Male,1,Laboratory Technician,4,Divorced,2661,0,No,11,3,1,3,2,3,2,2,1,2
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,15,3,Male,1,Laboratory Technician,3,Single,2028,5,Yes,14,3,0,6,4,3,4,2,0,3
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,16,2,Female,3,Manufacturing Director,1,Divorced,9980,1,No,11,3,1,10,1,3,10,9,8,8
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,17,1,Male,1,Research Scientist,2,Divorced,3298,0,Yes,12,3,2,7,5,2,6,2,0,5
22,No,Non-Travel,1123,Research & Development,16,2,Medical,18,4,Male,1,Laboratory Technician,4,Divorced,2935,1,Yes,13,3,2,1,2,2,1,0,0,0
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,19,1,Female,4,Manager,4,Married,15427,2,No,16,3,,31,3,3,25,8,3,7
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,20,4,Male,1,Research Scientist,4,Single,3944,5,Yes,11,3,,6,3,3,3,2,1,2
24,No,Non-Travel,673,Research & Development,11,2,Other,21,1,Female,2,Manufacturing Director,3,Divorced,4011,0,No,18,3,1,5,5,2,4,2,1,3
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,22,3,Male,1,Sales Representative,1,Single,3407,7,No,23,4,0,10,4,3,5,3,0,3
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,23,1,Female,3,Research Director,2,Single,11994,,No,11,3,0,13,4,3,12,6,2,11
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,24,3,Male,1,Research Scientist,4,Single,1232,1,No,14,3,0,0,6,3,0,0,0,0
34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,25,2,Male,1,Research Scientist,1,Single,2960,2,No,11,3,0,8,2,3,4,2,1,3
53,No,Travel_Rarely,1282,Research & Development,5,3,Other,26,3,Female,5,Manager,3,Divorced,19094,4,No,11,3,1,26,3,2,14,13,4,8
32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,27,2,Female,1,Research Scientist,1,Single,3919,1,Yes,22,4,,10,5,3,10,2,6,7
42,No,Travel_Rarely,691,Sales,8,4,Marketing,28,3,Male,2,Sales Executive,2,Married,6825,0,No,11,3,1,10,2,3,9,7,4,2
44,No,Travel_Rarely,477,Research & Development,7,4,Medical,29,1,Female,3,Healthcare Representative,4,Married,10248,3,No,14,3,1,24,4,3,22,6,5,17
46,No,Travel_Rarely,705,Sales,2,4,Marketing,30,2,Female,5,Manager,1,Single,18947,3,No,12,3,0,22,2,2,2,2,2,1
33,No,Travel_Rarely,924,Research & Development,2,3,Medical,31,3,Male,1,Laboratory Technician,4,Single,2496,4,No,11,3,0,7,3,3,1,1,0,0
44,No,Travel_Rarely,1459,Research & Development,10,4,Other,32,4,Male,2,Healthcare Representative,4,Married,6465,2,Yes,13,3,0,9,5,4,4,2,1,3
30,No,Travel_Rarely,125,Research & Development,9,2,Medical,33,4,Male,1,Laboratory Technician,3,Single,2206,1,No,13,3,0,10,5,3,10,0,1,8
39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,34,4,Male,2,Sales Representative,4,Married,2086,3,No,14,3,1,19,6,4,1,0,0,0
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,35,2,Male,1,Research Scientist,4,Married,2293,2,Yes,16,3,1,6,2,2,2,0,2,0
43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,36,4,Female,1,Research Scientist,3,Divorced,2645,1,No,12,3,2,6,3,2,5,3,1,4
50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,37,1,Male,1,Sales Representative,3,Married,2683,1,Yes,14,3,0,3,2,3,3,2,0,2
35,No,Travel_Rarely,890,Sales,2,3,Marketing,38,4,Female,1,Sales Representative,4,Married,2014,1,No,13,3,0,2,3,3,2,2,2,2
36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,39,2,Female,1,Research Scientist,1,Married,3419,9,Yes,14,3,1,6,3,4,1,1,0,0
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,40,3,Female,2,Sales Executive,1,Married,5376,2,No,19,3,2,10,3,3,5,3,1,3
35,No,Travel_Rarely,464,Research & Development,4,2,Other,41,3,Male,1,Laboratory Technician,4,Divorced,1951,1,No,12,3,1,1,3,3,1,0,0,0
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,42,4,Female,1,Laboratory Technician,1,Divorced,2341,1,No,13,3,1,1,6,3,1,0,0,0
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,43,1,Male,1,Laboratory Technician,3,Single,2293,1,No,12,3,0,1,2,2,1,0,0,1
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,44,4,Male,3,Sales Executive,3,Single,8726,1,No,15,3,0,9,0,3,9,8,1,7
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,45,3,Female,2,Laboratory Technician,4,Single,4011,1,No,23,4,0,12,2,3,12,8,3,7
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,46,2,Female,5,Research Director,3,Married,19545,1,No,12,3,0,23,0,3,22,15,15,8
34,No,Non-Travel,1065,Sales,23,4,Marketing,47,2,Male,2,Sales Executive,3,Single,4568,0,No,20,4,0,10,2,3,9,5,8,7
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,48,2,Male,1,Research Scientist,2,Married,3022,4,No,21,4,0,8,1,3,1,0,0,0
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,49,1,Male,2,Sales Executive,4,Single,5772,4,Yes,21,4,0,14,4,3,9,6,0,8
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,50,4,Male,1,Laboratory Technician,4,Married,2269,1,No,19,3,0,1,2,3,1,0,0,1
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,51,1,Male,3,Laboratory Technician,3,Single,5381,9,Yes,13,3,0,23,2,3,1,0,0,0
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,52,3,Male,1,Laboratory Technician,3,Single,3441,1,Yes,13,3,0,2,3,2,2,2,2,2
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,53,2,Female,2,Sales Executive,1,Divorced,5454,5,Yes,21,4,1,9,2,2,4,3,1,3
35,No,Non-Travel,1097,Research & Development,11,2,Medical,54,3,Male,3,Healthcare Representative,1,Married,9884,2,Yes,13,3,1,10,3,3,4,0,2,3
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,55,3,Female,2,Sales Executive,4,Married,4157,7,Yes,19,3,1,5,2,2,2,2,0,0
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,56,1,Female,3,Research Director,4,Single,13458,1,Yes,12,3,0,15,1,3,15,14,8,12
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,57,2,Male,3,Sales Executive,1,Married,9069,1,No,22,4,1,9,3,2,9,8,1,8
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,58,3,Female,1,Laboratory Technician,1,Married,4014,3,Yes,15,3,1,4,3,3,2,2,2,2
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,59,4,Male,2,Laboratory Technician,4,Divorced,5915,3,No,22,4,1,10,3,2,7,7,1,7
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,60,1,Male,2,Manufacturing Director,3,Divorced,5993,1,No,18,3,1,7,2,4,7,5,0,7
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,61,1,Male,2,Manufacturing Director,4,Married,6162,1,Yes,22,4,1,9,3,3,9,8,7,8
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,62,4,Female,2,Laboratory Technician,4,Single,2406,1,No,11,3,0,10,2,3,10,3,9,9
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,63,2,Female,5,Research Director,3,Divorced,18740,5,Yes,12,3,1,29,2,2,27,3,13,8
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,64,1,Female,3,Sales Executive,1,Single,7637,7,No,11,3,0,28,3,2,21,16,7,9
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,65,3,Female,3,Healthcare Representative,3,Divorced,10096,1,No,13,3,3,17,2,3,17,14,12,8
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,66,4,Female,4,Manager,3,Divorced,14756,2,Yes,14,3,3,21,2,3,5,0,0,2
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,67,2,Male,2,Manufacturing Director,2,Single,6499,1,No,13,3,0,6,3,3,6,5,0,3
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,68,2,Male,3,Research Scientist,1,Divorced,9724,2,No,17,3,1,25,2,3,1,0,0,0
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,69,2,Male,1,Research Scientist,1,Married,2194,4,No,13,3,1,5,2,2,3,2,1,2
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,70,4,Male,1,Research Scientist,3,Married,3388,0,Yes,17,3,1,2,0,2,1,0,0,0
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,71,1,Female,2,Sales Executive,3,Single,5473,7,No,11,3,0,20,2,2,4,3,1,3
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,72,3,Male,1,Research Scientist,2,Married,2703,0,No,23,4,1,6,3,3,5,4,0,4
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,73,3,Male,1,Research Scientist,2,Single,2501,1,No,17,3,0,1,4,3,1,1,1,0
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,74,2,Male,2,Research Scientist,2,Married,6220,1,No,17,3,2,10,3,3,10,4,0,9
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,75,2,Female,1,Laboratory Technician,4,Married,3038,3,No,12,3,0,5,3,3,1,0,0,0
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,76,3,Female,2,Manufacturing Director,4,Single,4424,1,No,23,4,0,11,2,3,11,7,1,8
35,No,Travel_Rarely,776,Sales,1,4,Marketing,77,3,Male,2,Sales Executive,1,Single,4312,0,No,14,3,0,16,2,3,15,13,2,8
45,No,Travel_Rarely,193,Research & Development,6,4,Other,78,4,Male,3,Research Director,1,Married,13245,4,Yes,14,3,0,17,3,4,0,0,0,0
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,79,1,Male,3,Research Director,3,Single,13664,4,No,13,3,0,16,3,4,5,2,0,2
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,80,2,Male,2,Human Resources,2,Divorced,5021,8,Yes,22,4,1,16,2,3,4,2,0,2
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,81,4,Male,2,Laboratory Technician,4,Married,5126,1,Yes,12,3,2,10,1,2,10,8,3,0
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,82,2,Male,1,Research Scientist,3,Single,2859,1,No,18,3,0,6,3,3,6,4,0,4
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,83,1,Male,3,Sales Executive,4,Married,10239,3,No,14,3,1,24,4,3,1,0,1,0
38,No,Non-Travel,573,Research & Development,6,3,Medical,84,2,Female,2,Research Scientist,4,Divorced,5329,7,Yes,12,3,3,17,3,3,13,11,1,9
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,85,1,Male,2,Manufacturing Director,2,Married,4325,1,No,15,3,0,5,2,3,5,2,1,3
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,86,4,Male,3,Manufacturing Director,4,Single,7260,4,No,11,3,0,37,3,2,6,4,0,2
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,87,3,Male,1,Sales Representative,1,Divorced,2322,3,No,13,3,1,3,3,3,0,0,0,0
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,88,4,Male,1,Laboratory Technician,4,Married,2075,3,No,23,4,2,10,4,3,4,2,0,3
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,89,3,Male,2,Healthcare Representative,4,Married,4152,1,No,19,3,3,11,3,3,11,10,10,8
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,90,3,Male,3,Sales Executive,4,Single,9619,1,No,16,3,0,9,3,3,9,8,4,7
40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,91,3,Male,4,Healthcare Representative,2,Married,13503,1,No,22,4,1,22,3,2,22,3,11,11
51,No,Travel_Rarely,632,Sales,21,4,Marketing,92,3,Male,2,Sales Executive,4,Single,5441,0,Yes,22,4,0,11,2,1,10,7,1,0
30,No,Travel_Rarely,1334,Sales,4,2,Medical,93,3,Female,2,Sales Executive,2,Divorced,5209,1,Yes,12,3,3,11,4,2,11,8,2,7
46,No,Travel_Frequently,638,Research & Development,1,3,Medical,94,3,Male,3,Healthcare Representative,1,Married,10673,2,Yes,13,3,1,21,5,2,10,9,9,5
32,No,Travel_Rarely,1093,Sales,6,4,Medical,95,2,Male,2,Sales Executive,3,Single,5010,1,No,16,3,0,12,0,3,11,8,5,7
54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,96,1,Female,3,Research Director,3,Married,13549,9,No,12,3,1,16,5,1,4,3,0,3
24,No,Travel_Rarely,1353,Sales,3,2,Other,97,1,Female,2,Sales Executive,3,Married,4999,0,No,21,4,1,4,2,2,3,2,0,2
28,No,Non-Travel,120,Sales,4,3,Medical,98,2,Male,2,Sales Executive,3,Married,4221,1,No,15,3,0,5,3,4,5,4,0,4
58,No,Travel_Rarely,682,Sales,10,4,Medical,99,4,Male,4,Sales Executive,3,Single,13872,0,No,13,3,0,38,1,2,37,10,1,8
44,No,Non-Travel,489,Research & Development,23,3,Medical,100,2,Male,2,Laboratory Technician,2,Married,2042,4,No,12,3,1,17,3,4,3,2,1,2
37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,101,3,Male,1,Human Resources,1,Divorced,2073,4,Yes,22,4,0,7,3,3,3,2,0,2
32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,102,4,Male,1,Research Scientist,1,Single,2956,1,No,13,3,0,1,2,3,1,0,0,0
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,103,4,Female,1,Laboratory Technician,4,Single,2926,1,Yes,18,3,0,1,5,3,1,0,1,0
34,No,Travel_Rarely,665,Research & Development,6,4,Other,104,1,Female,2,Research Scientist,3,Single,4809,1,No,14,3,0,16,3,3,16,13,2,10
37,No,Non-Travel,1040,Research & Development,2,2,Life Sciences,105,3,Male,2,Healthcare Representative,4,Divorced,5163,5,No,14,3,1,17,2,4,1,0,0,0
59,No,Non-Travel,1420,Human Resources,2,4,Human Resources,106,3,Female,5,Manager,4,Married,18844,9,No,21,4,1,30,3,3,3,2,2,2
50,No,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,107,1,Female,5,Research Director,2,Married,18172,3,Yes,19,3,0,28,1,2,8,3,0,7
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,108,3,Male,2,Sales Executive,3,Single,5744,1,Yes,11,3,0,6,1,3,6,4,0,3
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,109,4,Male,1,Research Scientist,4,Married,2889,1,No,11,3,2,2,2,3,2,2,2,1
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,110,2,Female,1,Laboratory Technician,4,Single,2871,1,No,15,3,0,1,5,3,0,0,0,0
51,No,Travel_Frequently,1456,Research & Development,1,4,Medical,111,1,Female,3,Healthcare Representative,1,Single,7484,3,No,20,4,0,23,1,2,13,12,12,8
34,Yes,Travel_Frequently,658,Research & Development,7,3,Life Sciences,112,1,Male,2,Laboratory Technician,3,Single,6074,1,Yes,24,4,0,9,3,3,9,7,0,6
54,No,Non-Travel,142,Human Resources,26,3,Human Resources,113,4,Female,4,Manager,4,Single,17328,2,Yes,12,3,0,23,3,3,5,3,4,4
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,114,2,Male,1,Laboratory Technician,3,Married,2774,0,No,12,3,1,6,2,3,5,3,1,2
34,No,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,115,3,Female,2,Research Scientist,2,Divorced,4505,6,No,15,3,1,12,3,3,1,0,0,0
37,No,Travel_Rarely,1189,Sales,3,3,Life Sciences,116,3,Male,3,Sales Executive,4,Single,7428,2,No,12,3,0,12,3,3,5,3,1,3
34,No,Travel_Rarely,1354,Research & Development,5,3,Medical,117,3,Female,3,Manager,1,Single,11631,2,No,12,3,0,14,6,3,11,10,5,8
36,No,Travel_Frequently,1467,Sales,11,2,Technical Degree,118,2,Female,3,Sales Executive,4,Married,9738,0,No,14,3,1,10,6,3,9,7,2,8
36,No,Travel_Rarely,922,Research & Development,3,2,Life Sciences,119,1,Female,1,Laboratory Technician,4,Divorced,2835,5,No,22,4,1,7,2,3,1,0,0,0
43,No,Travel_Frequently,394,Sales,26,2,Life Sciences,120,3,Male,4,Manager,4,Married,16959,1,Yes,12,3,2,25,3,4,25,12,4,12
30,No,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,121,1,Male,1,Research Scientist,3,Divorced,2613,1,No,25,4,3,10,2,2,10,7,0,9
33,No,Non-Travel,750,Sales,22,2,Marketing,122,3,Male,2,Sales Executive,2,Married,6146,0,No,13,3,1,8,2,4,7,7,0,7
56,Yes,Travel_Rarely,441,Research & Development,14,4,Life Sciences,123,2,Female,1,Research Scientist,2,Married,4963,9,Yes,18,3,3,7,2,3,5,4,4,3
51,No,Travel_Rarely,684,Research & Development,6,3,Life Sciences,124,1,Male,5,Research Director,3,Single,19537,7,No,13,3,0,23,5,3,20,18,15,15
31,Yes,Travel_Rarely,249,Sales,6,4,Life Sciences,125,2,Male,2,Sales Executive,3,Married,6172,4,Yes,18,3,0,12,3,2,7,7,7,7
26,No,Travel_Rarely,841,Research & Development,6,3,Other,126,3,Female,1,Research Scientist,2,Married,2368,1,No,19,3,0,5,3,2,5,4,4,3
58,Yes,Travel_Rarely,147,Research & Development,23,4,Medical,127,4,Female,3,Healthcare Representative,4,Married,10312,1,No,12,3,1,40,3,2,40,10,15,6
19,Yes,Travel_Rarely,528,Sales,22,1,Marketing,128,4,Male,1,Sales Representative,3,Single,1675,1,Yes,19,3,0,0,2,2,0,0,0,0
22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,129,3,Male,1,Laboratory Technician,4,Married,2523,0,No,14,3,1,3,2,3,2,1,2,1
49,No,Travel_Rarely,470,Research & Development,20,4,Medical,130,3,Female,2,Manufacturing Director,1,Married,6567,1,No,14,3,0,16,2,2,15,11,5,11
43,No,Travel_Frequently,957,Research & Development,28,3,Medical,131,2,Female,1,Research Scientist,3,Single,4739,4,No,12,3,0,18,2,3,3,2,1,2
50,No,Travel_Frequently,809,Sales,12,3,Marketing,132,3,Female,3,Sales Executive,4,Single,9208,4,No,11,3,0,16,3,3,2,2,2,1
31,Yes,Travel_Rarely,542,Sales,20,3,Life Sciences,133,2,Female,2,Sales Executive,3,Married,4559,3,Yes,11,3,1,4,2,3,2,2,2,2
41,No,Travel_Rarely,802,Sales,9,1,Life Sciences,134,3,Male,3,Sales Executive,3,Divorced,8189,3,Yes,13,3,1,12,2,3,9,7,0,7
26,No,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,135,3,Female,1,Human Resources,3,Married,2942,1,No,23,4,1,8,3,3,8,7,5,7
36,No,Travel_Rarely,216,Research & Development,6,2,Medical,136,2,Male,2,Manufacturing Director,2,Divorced,4941,6,No,20,4,2,7,0,3,3,2,0,1
51,Yes,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,137,1,Male,3,Manufacturing Director,4,Single,10650,2,No,15,3,0,18,2,3,4,2,0,3
39,No,Travel_Rarely,1329,Sales,4,4,Life Sciences,138,4,Female,2,Sales Executive,3,Married,5902,4,No,14,3,1,17,1,4,15,11,5,9
25,No,Travel_Rarely,959,Sales,28,3,Life Sciences,139,1,Male,2,Sales Executive,3,Married,8639,2,No,18,3,0,6,3,3,2,2,2,2
30,No,Travel_Rarely,1240,Human Resources,9,3,Human Resources,140,3,Male,2,Human Resources,4,Married,6347,0,Yes,19,3,0,12,2,1,11,9,4,7
32,Yes,Travel_Rarely,1033,Research & Development,9,3,Medical,141,1,Female,1,Laboratory Technician,1,Single,4200,7,No,22,4,0,10,2,4,5,4,0,4
45,No,Travel_Rarely,1316,Research & Development,29,3,Medical,142,3,Male,1,Research Scientist,4,Single,3452,5,No,13,3,0,9,2,2,6,5,0,3
38,No,Travel_Rarely,364,Research & Development,3,5,Technical Degree,143,4,Female,2,Research Scientist,3,Single,4317,3,Yes,20,4,0,19,2,3,3,2,2,2
30,No,Travel_Rarely,438,Research & Development,18,3,Life Sciences,144,1,Female,1,Research Scientist,3,Single,2632,1,No,14,3,0,5,4,2,5,4,0,4
32,No,Travel_Frequently,689,Sales,9,2,Medical,145,4,Male,2,Sales Executive,4,Divorced,4668,0,No,17,3,3,9,2,4,8,7,0,7
30,No,Travel_Rarely,201,Research & Development,5,3,Technical Degree,146,4,Female,1,Research Scientist,1,Divorced,3204,5,No,14,3,1,8,3,3,3,2,2,2
30,No,Travel_Rarely,1427,Research & Development,2,1,Medical,147,2,Male,1,Laboratory Technician,4,Single,2720,0,No,13,3,0,6,3,3,5,3,1,2
41,No,Travel_Frequently,857,Research & Development,10,3,Life Sciences,148,4,Male,4,Manager,1,Divorced,17181,4,No,13,3,1,21,2,2,7,6,7,7
41,No,Travel_Rarely,933,Research & Development,9,4,Life Sciences,149,3,Male,1,Laboratory Technician,1,Married,2238,2,No,21,4,1,7,2,3,5,0,1,4
19,No,Travel_Rarely,1181,Research & Development,3,1,Medical,150,2,Female,1,Laboratory Technician,2,Single,1483,1,No,14,3,0,1,3,3,1,0,0,0
40,No,Travel_Frequently,1395,Research & Development,26,3,Medical,151,2,Female,2,Research Scientist,2,Divorced,5605,1,No,11,3,1,20,2,3,20,7,2,13
35,No,Travel_Rarely,662,Sales,1,5,Marketing,152,3,Male,3,Sales Executive,2,Married,7295,1,No,13,3,2,10,3,3,10,8,0,6
53,No,Travel_Rarely,1436,Sales,6,2,Marketing,153,2,Male,2,Sales Representative,3,Married,2306,2,Yes,20,4,1,13,3,1,7,7,4,5
45,No,Travel_Rarely,194,Research & Development,9,3,Life Sciences,154,2,Male,2,Laboratory Technician,2,Divorced,2348,8,No,18,3,1,20,2,1,17,9,0,15
32,No,Travel_Frequently,967,Sales,8,3,Marketing,155,2,Female,3,Sales Executive,4,Single,8998,1,No,14,3,0,9,2,3,9,8,3,7
29,No,Non-Travel,1496,Research & Development,1,1,Technical Degree,156,4,Male,2,Manufacturing Director,3,Married,4319,1,No,13,3,1,10,1,3,10,7,0,9
51,No,Travel_Rarely,1169,Research & Development,7,4,Medical,157,2,Male,2,Manufacturing Director,3,Married,6132,2,No,17,3,0,10,2,3,1,0,0,0
58,No,Travel_Rarely,1145,Research & Development,9,3,Medical,158,2,Female,1,Research Scientist,2,Married,3346,4,Yes,20,4,1,9,3,2,1,0,0,0
40,No,Travel_Rarely,630,Sales,4,4,Marketing,159,3,Male,3,Sales Executive,4,Married,10855,7,No,11,3,1,15,2,2,12,11,2,11
34,No,Travel_Frequently,303,Sales,2,4,Marketing,160,3,Female,1,Sales Representative,3,Married,2231,6,No,18,3,1,6,3,3,4,3,1,2
22,No,Travel_Rarely,1256,Research & Development,19,1,Medical,161,3,Male,1,Research Scientist,4,Married,2323,1,No,24,4,2,2,6,3,2,2,2,2
27,No,Non-Travel,691,Research & Development,9,3,Medical,162,4,Male,1,Research Scientist,2,Divorced,2024,6,No,18,3,1,6,1,1,2,2,2,2
28,No,Travel_Rarely,440,Research & Development,21,3,Medical,163,3,Male,1,Research Scientist,4,Married,2713,1,No,11,3,1,5,2,1,5,2,0,2
57,No,Travel_Rarely,334,Research & Development,24,2,Life Sciences,164,3,Male,3,Healthcare Representative,4,Divorced,9439,3,Yes,16,3,1,12,2,1,5,3,1,4
27,No,Non-Travel,1450,Research & Development,3,3,Medical,165,3,Male,1,Research Scientist,3,Divorced,2566,1,Yes,15,3,1,1,2,2,1,1,0,1
50,No,Travel_Rarely,1452,Research & Development,11,3,Life Sciences,166,3,Female,5,Manager,2,Single,19926,3,No,15,3,0,21,5,3,5,4,4,4
41,No,Travel_Rarely,465,Research & Development,14,3,Life Sciences,167,1,Male,1,Research Scientist,3,Divorced,2451,4,No,12,3,1,13,2,3,9,8,1,8
30,No,Travel_Rarely,1339,Sales,5,3,Life Sciences,168,2,Female,3,Sales Executive,4,Married,9419,2,No,12,3,1,12,2,3,10,9,7,4
38,No,Travel_Rarely,702,Sales,1,4,Life Sciences,169,1,Female,2,Sales Executive,4,Single,8686,4,No,22,4,0,12,2,4,8,3,0,7
